CARVER,DATETIME,FROM_PRICE,TO_PRICE,FROM_CARRY,TO_CARRY,DELTA,DONE
AUD,2016-09-12,201609,201612,201612,201703,,0
BOBL,2016-08-31,201609,201612,201612,201703,,0
CAC,2016-07-11,201607,201608,201608,201609,-0.5,1
CAC,2016-08-15,201608,201609,201609,201610,-1.5,1
CAC,2016-09-12,201609,201610,201610,201611,,0
COPPER,2016-09-12,201609,201612,201610,201701,,0
EDOLLAR,2016-09-12,201906,201912,201903,201909,,0
GAS_US,2016-07-15,201609,201610,201608,201609,0.045,1
GAS_US,2016-08-25,201610,201611,201609,201610,0.125,1
GBP,2016-09-12,201609,201612,201612,201703,,0
GOLD,2016-08-03,201608,201612,201610,201702,8.6,1
JPY,2016-09-12,201609,201612,201612,201703,,0
LIVECOW,2016-09-02,201610,201710,201608,201708, ,0
MXP,2016-09-12,201609,201612,201612,201703,,0
NASDAQ,2016-09-09,201609,201612,201612,201703,,0
PALLAD,2016-09-02,201609,201612,201612,201703, ,0
SP500,2016-09-12,201609,201612,201612,201703, ,0
US2,2016-08-24,201609,201612,201612,201703,-0.0625,1
US5,2016-08-24,201609,201612,201612,201703,0.0234375,1
V2X,2016-07-15,201608,201609,201607,201608,0.8,1
V2X,2016-08-16,201609,201610,201608,201609,1.25,1
V2X,2016-09-12,201610,201611,201609,201610, ,0
VIX,2016-07-11,201608,201609,201607,201608,1.45,1
VIX,2016-08-16,201609,201610,201608,201609,1.65,1
VIX,2016-09-12,201610,201611,201609,201610, ,0
