20160923 17:05:04,,FLKTB,201609
20160923 17:05:04,,3KTB,201609
20160923 17:26:43,,FLKTB,201609
20160923 17:26:43,,3KTB,201609
20160923 17:29:43,,FLKTB,201609
20160923 17:29:43,,3KTB,201609
20160923 17:34:28,,FLKTB,201609
20160923 17:34:28,,3KTB,201609
20160923 17:40:52,,FLKTB,201609
20160923 17:40:52,,3KTB,201609
20160923 17:42:00,,FLKTB,201609
20160923 17:42:00,,3KTB,201609
20160923 19:07:35,,EUR,
20160923 19:07:35,,FLKTB,201612.0
20160923 19:07:35,,FLKTB,201609.0
20160923 19:07:35,,3KTB,201612.0
20160923 19:07:35,,3KTB,201609.0
20160923 19:07:35,VX,VIX,20161019.0
20160923 19:07:35,VX,VIX,20161116.0
20160923 22:55:58,,FLKTB,201612.0
20160923 22:55:58,,FLKTB,201609.0
20160923 22:55:58,,3KTB,201612.0
20160923 22:55:58,,3KTB,201609.0
20160923 22:57:49,,FLKTB,201612.0
20160923 22:57:49,,FLKTB,201609.0
20160923 22:57:49,,3KTB,201612.0
20160923 22:57:49,,3KTB,201609.0
20160923 23:52:19,,FLKTB,201612.0
20160923 23:52:19,,FLKTB,201609.0
20160923 23:52:19,,3KTB,201612.0
20160923 23:52:19,,3KTB,201609.0
20160923 23:54:43,,FLKTB,201612.0
20160923 23:54:43,,FLKTB,201609.0
20160923 23:54:43,,3KTB,201612.0
20160923 23:54:43,,3KTB,201609.0
20160923 23:57:44,,FLKTB,201612.0
20160923 23:57:44,,FLKTB,201609.0
20160923 23:57:44,,3KTB,201612.0
20160923 23:57:44,,3KTB,201609.0
